timestamp,model,prompt_set,concept_term,B1_official_name,B2_kind,B3_category_type,B4_immediate_broader,B5_grandparents,B6_immediate_narrower,B7_peer_terms
2026-03-05T10:53:00.111935,gemini-3-flash-preview,set2,Cervical anterior longitudinal ligament sprain,Sprain of anterior longitudinal ligament of cervical spine,Injury,Fully defined,Sprain of anterior longitudinal ligament|Sprain of cervical spine,Injury of neck|Injury of spine|Ligamentous injury,Complete tear of cervical anterior longitudinal ligament|Partial tear of cervical anterior longitudinal ligament,Sprain of cervical posterior longitudinal ligament|Sprain of cervical interspinous ligament|Sprain of cervical ligamentum flavum|Sprain of cervical supraspinous ligament
2026-03-05T10:53:06.609799,gemini-3-flash-preview,set2,Entire costal groove of eighth rib,Costal groove of eighth rib,Anatomical structure,Fully defined,Costal groove of rib|Structure of eighth rib,Groove of bone|Structure of rib,None,Costal groove of seventh rib|Costal groove of ninth rib|Costal groove of tenth rib|Costal groove of eleventh rib|Costal groove of twelfth rib
2026-03-05T10:53:16.913906,gemini-3-flash-preview,set2,Myxopapillary ependymoma of brain,Myxopapillary ependymoma,Neoplastic Process,Fully defined,Ependymoma of brain|Myxopapillary ependymoma,Ependymal tumor|Neoplasm of brain,None,Papillary ependymoma of brain|Clear cell ependymoma of brain|Tanycytic ependymoma of brain
2026-03-05T10:53:26.714739,gemini-3-flash-preview,set2,Repositioning of cardioverter/defibrillator leads,Repositioning of cardioverter-defibrillator leads,Procedure,Fully defined,Repositioning of cardiac device lead|Revision of cardioverter-defibrillator lead,Repositioning of internal device|Revision of cardiac device,Repositioning of electrode of dual chamber cardioverter-defibrillator|Repositioning of electrode of single chamber cardioverter-defibrillator,Repositioning of pacemaker lead|Removal of cardioverter-defibrillator lead|Replacement of cardioverter-defibrillator lead
2026-03-05T10:53:33.837097,gemini-3-flash-preview,set2,Buttiauxella brennerae,*Buttiauxella brennerae*,Bacterium,Primitive,,,,*Buttiauxella agrestis*|*Buttiauxella ferragutiae*|*Buttiauxella gaviniae*|*Buttiauxella izardii*|*Buttiauxella noackiae*|*Buttiauxella warmboldiae*
2026-03-05T10:53:45.194951,gemini-3-flash-preview,set2,Position of testicle,Position of testicle,Observable entity,Primitive,Position of body part,Anatomic site characteristic,Testis descended|Undescended testis|Ectopic testis|Retractile testis,Position of ovary|Position of prostate|Position of uterus|Position of kidney|Position of limb
2026-03-05T10:53:54.829859,gemini-3-flash-preview,set2,Accidental lomustine poisoning,Accidental poisoning caused by lomustine,Event,Fully defined,Accidental poisoning caused by antineoplastic and immunosuppressive drug|Poisoning caused by lomustine,Accidental poisoning|Poisoning caused by alkylating agent|Poisoning caused by antineoplastic and immunosuppressive drug,None,"Accidental poisoning caused by carmustine|Accidental poisoning caused by busulfan|Accidental poisoning caused by melphalan|Intentional self-poisoning caused by lomustine|Poisoning caused by lomustine, undetermined intent"
2026-03-05T10:54:04.008064,gemini-3-flash-preview,set2,Hemangioma of retina of bilateral eyes,Hemangioma of retina of bilateral eyes,Disorder,Fully defined,Hemangioma of retina|Bilateral retinal disorder,Retinal disorder|Vascular tumor of eye|Hemangioma|Bilateral disorder of eye,None,Hemangioma of retina of left eye|Hemangioma of retina of right eye
2026-03-05T10:54:12.320481,gemini-3-flash-preview,set2,Mandelate racemase,Mandelate racemase,Enzyme,Fully defined,Racemases and epimerases acting on hydroxy acids and derivatives (EC 5.1.2),Racemases and epimerases (EC 5.1),None,Lactate racemase|2-hydroxyglutarate racemase|Phenyllactate racemase|Glycerate racemase|Hydantoin racemase
2026-03-05T10:54:22.193878,gemini-3-flash-preview,set2,Structure of rhomboideus thoracis muscle,Rhomboideus thoracis muscle,Anatomical Structure,Primitive,Rhomboideus muscle|Skeletal muscle of back,Skeletal muscle organ|Muscle of trunk,Belly of rhomboideus thoracis muscle|Tendon of rhomboideus thoracis muscle,Rhomboideus cervicis muscle
2026-03-05T10:54:28.743715,gemini-3-flash-preview,set2,Unable to move from lying to sitting,Unable to move from lying to sitting,Finding,Primitive,Difficulty moving from lying to sitting|Unable to change position,Mobility finding|Finding of body movement,None,Unable to move from lying to standing|Unable to move from sitting to standing|Unable to move from sitting to lying|Unable to turn over in bed
2026-03-05T10:54:33.412389,gemini-3-flash-preview,set2,Contact lens inserter/remover,Contact lens insertion/removal tool,Medical Device,Fully defined,,,Scleral lens inserter|Suction cup contact lens remover|Contact lens handling tweezers,Contact lens case|Contact lens disinfecting unit|Contact lens cleaning kit
2026-03-05T10:54:40.467448,gemini-3-flash-preview,set2,Cytosine deaminase,Cytosine aminohydrolase,Enzyme,Fully defined,Hydrolases acting on cyclic amidines,Hydrolases acting on carbon-nitrogen bonds other than peptide bonds|Hydrolases,Bacterial cytosine deaminase (CodA)|Yeast cytosine deaminase (Fcy1p),Adenine deaminase|Guanine deaminase|Cytidine deaminase|Adenosine deaminase|Creatinine deaminase
2026-03-05T10:54:51.648840,gemini-3-flash-preview,set2,Atrolysin F,Crotalyzin,Enzyme,Fully defined,Atrolysin|Metalloendopeptidases,Hydrolases|Snake Venoms,None,Atrolysin A|Atrolysin B|Atrolysin C|Atrolysin D|Atrolysin E
2026-03-05T10:54:58.323778,gemini-3-flash-preview,set2,Entire pupillary margin of iris,Most precise official-style name,What kind of thing it is (semantic type),Category type (Primitive / Fully defined),Margin of iris|Structure of iris,Uveal tract structure|Structure of eyeball,None,Entire ciliary margin of iris
2026-03-05T10:55:04.378257,gemini-3-flash-preview,set2,Compression hosiery class II below knee stocking flatbed knit made to measure,Class II custom-made flat-knit below-knee compression stocking,Medical device,Fully defined,Custom-made compression stocking|Below-knee compression stocking|Flat-knit compression hosiery,Compression hosiery|Medical support garment|Physical therapeutic agent,Class II custom-made flat-knit below-knee compression stocking with open toe|Class II custom-made flat-knit below-knee compression stocking with closed toe|Class II custom-made flat-knit below-knee compression stocking with silicone top band,Class I custom-made flat-knit below-knee compression stocking|Class III custom-made flat-knit below-knee compression stocking|Class II custom-made flat-knit thigh-high compression stocking|Class II custom-made circular-knit below-knee compression stocking|Class II pre-manufactured flat-knit below-knee compression stocking
2026-03-05T10:55:14.894965,gemini-3-flash-preview,set2,Entire small subcutaneous vein,Entire small subcutaneous vein,Body structure,Primitive,Small subcutaneous vein,Subcutaneous vein|Small vein,Entire small subcutaneous vein of upper limb|Entire small subcutaneous vein of lower limb|Entire small subcutaneous vein of trunk,Entire large subcutaneous vein|Entire medium-sized subcutaneous vein
2026-03-05T10:55:20.340667,gemini-3-flash-preview,set2,Operation on pharynx,Procedure on pharynx,Procedure,Primitive,Procedure on upper respiratory tract|Procedure on digestive system|Procedure on head,Procedure on respiratory system|Procedure on body system|Procedure by site,Pharyngectomy|Pharyngotomy|Pharyngoplasty|Excision of lesion of pharynx|Repair of pharynx|Dilation of pharynx,Procedure on larynx|Procedure on esophagus|Procedure on nasal cavity|Procedure on mouth
2026-03-05T10:55:28.723677,gemini-3-flash-preview,set2,Fluoroscopic angiography of dialysis fistula using contrast with insertion of stent graft,Fluoroscopic guided insertion of stent graft into dialysis arteriovenous fistula,Procedure,Fully defined,Insertion of stent graft into blood vessel|Radiography of dialysis circuit|Percutaneous transluminal angioplasty and stenting of dialysis fistula,Vascular intervention|Diagnostic imaging|Surgical procedure on blood vessel,Percutaneous insertion of covered stent graft into hemodialysis fistula,Fluoroscopic angiography of dialysis fistula with balloon angioplasty|Fluoroscopic angiography of dialysis fistula with thrombectomy|Fluoroscopic angiography of dialysis fistula with embolization
2026-03-05T10:55:47.761089,gemini-3-flash-preview,set2,Product containing only methotrexate,Product containing only methotrexate (medicinal product),Medicinal product,Fully defined,Product containing methotrexate,Product containing folic acid analog|Antineoplastic agent,Methotrexate oral tablet|Methotrexate injection|Methotrexate 2.5 mg oral tablet,Product containing methotrexate and misoprostol
2026-03-05T10:55:53.778773,gemini-3-flash-preview,set2,Wart clinic,Verruca Clinic,Health Care Facility,Fully defined,Dermatology clinic|Specialized outpatient clinic,Medical facility|Healthcare organization,Cryotherapy clinic|Laser wart removal unit,Acne clinic|Skin cancer clinic|Psoriasis clinic
2026-03-05T10:56:04.173608,gemini-3-flash-preview,set2,Hemoglobin Dagestan,Hemoglobin Dagestan,Hemoglobin variant,Fully defined,,,,Hemoglobin G-Philadelphia|Hemoglobin Hasharon|Hemoglobin Chesapeake|Hemoglobin J-Toronto|Hemoglobin I-Interlaken
2026-03-05T10:56:10.413718,gemini-3-flash-preview,set2,Substance,Substance (substance),Substance,Primitive,SNOMED CT Concept,Root Concept,Chemical|Biological substance|Body substance|Dietary substance|Allergenic substance,Clinical finding|Procedure|Body structure|Organism|Event
2026-03-05T10:56:17.231423,gemini-3-flash-preview,set2,Family Chlorobiaceae,Chlorobiaceae,Biological Taxon (Family),Primitive,,,Genus Chlorobium|Genus Chlorobaculum|Genus Chloroherpeton|Genus Pelodictyon|Genus Prosthecochloris,
2026-03-05T10:56:25.042974,gemini-3-flash-preview,set2,Structure of pedicle of axis,Pedicle of axis,Anatomical structure,Primitive,Pedicle of cervical vertebra|Structure of axis,Pedicle of vertebral arch|Cervical vertebra,Structure of left pedicle of axis|Structure of right pedicle of axis,Structure of lamina of axis|Structure of spinous process of axis|Structure of transverse process of axis|Structure of body of axis|Structure of dens of axis|Structure of superior articular process of axis|Structure of inferior articular process of axis
2026-03-05T10:56:33.090104,gemini-3-flash-preview,set2,Bone structure of L4,Structure of fourth lumbar vertebra,Body structure,Primitive,Structure of lumbar vertebra,Structure of vertebra|Bone structure of vertebral column,Body of fourth lumbar vertebra|Spinous process of fourth lumbar vertebra|Transverse process of fourth lumbar vertebra|Lamina of fourth lumbar vertebra|Pedicle of fourth lumbar vertebra|Superior articular process of fourth lumbar vertebra|Inferior articular process of fourth lumbar vertebra,Structure of first lumbar vertebra|Structure of second lumbar vertebra|Structure of third lumbar vertebra|Structure of fifth lumbar vertebra
2026-03-05T10:56:42.859321,gemini-3-flash-preview,set2,Lasègue's arm sign,Lasègue arm sign,Clinical finding,Primitive,Upper limb provocative test|Sign of cervical radiculopathy,Neurological sign|Physical examination finding,None,Spurling's maneuver|Upper limb tension test (ULTT)|Shoulder abduction test (Bakody's sign)|Lasègue's sign (lower limb)
2026-03-05T10:56:51.163465,gemini-3-flash-preview,set2,Neuroendocrine tumor of middle ear,Neuroendocrine tumor of middle ear,Neoplastic Process,Fully defined,Neoplasm of middle ear|Neuroendocrine tumor,Neoplasm of ear|Neuroendocrine neoplasm,None,Squamous cell carcinoma of middle ear|Adenocarcinoma of middle ear|Rhabdomyosarcoma of middle ear|Paraganglioma of middle ear
2026-03-05T10:57:23.363343,gemini-3-flash-preview,set2,Extension Namespace {1000194},Extension namespace,Foundation metadata concept,Primitive,,,Australian extension namespace|United Kingdom extension namespace|United States extension namespace|Canadian extension namespace,Namespace identifier|Partition identifier|Check digit|Item identifier
2026-03-05T10:57:30.280270,gemini-3-flash-preview,set2,Fracture of third rib,Fracture of third rib,Clinical finding,Fully defined,Fracture of rib,Fracture of thoracic skeleton|Injury of chest,Closed fracture of third rib|Open fracture of third rib,Fracture of first rib|Fracture of second rib|Fracture of fourth rib|Fracture of fifth rib|Fracture of sixth rib|Fracture of seventh rib|Fracture of eighth rib|Fracture of ninth rib|Fracture of tenth rib|Fracture of eleventh rib|Fracture of twelfth rib
2026-03-05T10:57:37.015723,gemini-3-flash-preview,set2,Overriding tricuspid valve,Overriding tricuspid valve,Congenital anomaly,Primitive,Congenital anomaly of tricuspid valve,Congenital anomaly of heart valve,None,Congenital stenosis of tricuspid valve|Congenital insufficiency of tricuspid valve|Ebstein's anomaly|Tricuspid valve atresia
2026-03-05T10:57:44.001992,gemini-3-flash-preview,set2,Cerebellar laceration with open intracranial wound,Laceration of cerebellum with open intracranial wound,Clinical finding,Fully defined,Laceration of cerebellum|Open traumatic brain injury,Traumatic brain injury|Laceration of brain|Injury of cerebellum,"Laceration of cerebellum with open intracranial wound, without loss of consciousness|Laceration of cerebellum with open intracranial wound, with loss of consciousness of unspecified duration",Contusion of cerebellum with open intracranial wound|Laceration of cerebrum with open intracranial wound|Laceration of brainstem with open intracranial wound
2026-03-05T10:57:50.662228,gemini-3-flash-preview,set2,Sacral spinal cord injury without bone injury,Most precise official-style name,What kind of thing it is (semantic type),Category type (Primitive / Fully defined),Spinal cord injury without evidence of spinal bone injury|Injury of sacral spinal cord,Spinal cord injury|Injury of sacral region|Traumatic injury of spinal cord,Complete sacral spinal cord injury without evidence of spinal bone injury|Incomplete sacral spinal cord injury without evidence of spinal bone injury,Cervical spinal cord injury without evidence of spinal bone injury|Thoracic spinal cord injury without evidence of spinal bone injury|Lumbar spinal cord injury without evidence of spinal bone injury|Sacrococcygeal spinal cord injury without evidence of spinal bone injury
2026-03-05T10:57:55.984352,gemini-3-flash-preview,set2,Dehydrated hereditary stomatocytosis,Dehydrated hereditary stomatocytosis,Disease or Syndrome,Fully defined,Hereditary stomatocytosis|Hemolytic anemia due to red cell membrane defects,Hereditary hemolytic anemia|Congenital hemolytic anemia|Red blood cell membrane disorder,Dehydrated hereditary stomatocytosis type 1 (PIEZO1-related)|Dehydrated hereditary stomatocytosis type 2 (KCNN4-related),Overhydrated hereditary stomatocytosis|Cryohydrocytosis|Familial pseudohyperkalemia
2026-03-05T10:58:02.262396,gemini-3-flash-preview,set2,Product containing precisely tinzaparin sodium 20000 unit/1 milliliter conventional release solution for injection,"Tinzaparin sodium 20,000 units/1 mL conventional release solution for injection",Medicinal product,Fully defined,Tinzaparin sodium solution for injection|Product containing tinzaparin sodium in solution for injection,Tinzaparin-containing product|Product in parenteral dose form,"Innohep 20,000 units/1 mL solution for injection|Tinzaparin sodium 20,000 units/1 mL solution for injection pre-filled syringe","Tinzaparin sodium 10,000 units/0.5 mL conventional release solution for injection|Tinzaparin sodium 4,500 units/0.45 mL conventional release solution for injection|Enoxaparin sodium 20,000 units/1 mL conventional release solution for injection"
2026-03-05T10:58:06.688946,gemini-3-flash-preview,set2,History of mood disorder,History of mood disorder (situation),Situation with explicit context,Fully defined,History of mental disorder,History of clinical finding,History of bipolar disorder|History of depressive disorder,History of anxiety disorder|History of psychotic disorder|History of personality disorder|History of eating disorder
2026-03-05T10:58:17.266948,gemini-3-flash-preview,set2,Dislocation of prosthetic joint of elbow,Dislocation of prosthetic joint of elbow,Clinical finding,Fully defined,Dislocation of prosthetic joint|Injury of elbow,"Mechanical complication of internal prosthetic device, implant and graft|Injury of upper limb",Dislocation of prosthetic joint of left elbow|Dislocation of prosthetic joint of right elbow,Dislocation of prosthetic joint of shoulder|Dislocation of prosthetic joint of hip|Dislocation of prosthetic joint of knee|Subluxation of prosthetic joint of elbow
2026-03-05T10:58:30.042867,gemini-3-flash-preview,set2,Product containing only brompheniramine and guaifenesin and hydrocodone in oral dose form,Most precise official-style name,What kind of thing it is (semantic type),Category type (Primitive / Fully defined),"Product containing brompheniramine, guaifenesin and hydrocodone|Product containing only brompheniramine and hydrocodone in oral dose form|Product containing only guaifenesin and hydrocodone in oral dose form|Product containing only brompheniramine and guaifenesin in oral dose form",Product containing brompheniramine and hydrocodone|Product containing guaifenesin and hydrocodone|Product containing brompheniramine and guaifenesin|Medicinal product in oral dose form,Brompheniramine maleate / guaifenesin / hydrocodone bitartrate oral solution|Brompheniramine maleate / guaifenesin / hydrocodone bitartrate oral tablet,"Product containing only brompheniramine, guaifenesin and codeine in oral dose form|Product containing only chlorphenamine, guaifenesin and hydrocodone in oral dose form|Product containing only brompheniramine, pseudoephedrine and hydrocodone in oral dose form|Product containing only brompheniramine, phenylephrine and hydrocodone in oral dose form"
2026-03-05T10:58:39.061172,gemini-3-flash-preview,set2,Unable to wash laundry,Unable to wash laundry,Finding,Primitive,Unable to do laundry,Difficulty doing laundry,None,Unable to dry laundry|Unable to hang out laundry|Unable to iron laundry
2026-03-05T10:58:48.787898,gemini-3-flash-preview,set2,Entire corticothalamic fibers of posterior limb of internal capsule,Corticothalamic fibers of posterior limb of internal capsule,Anatomical structure,Fully defined,Corticothalamic fibers of internal capsule|Posterior limb of internal capsule,Projection fibers of brain|Internal capsule,Corticothalamic fibers to ventral posterolateral nucleus|Corticothalamic fibers to ventral posteromedial nucleus,Corticospinal fibers of posterior limb of internal capsule|Thalamocortical fibers of posterior limb of internal capsule|Corticorubral fibers of posterior limb of internal capsule
2026-03-05T10:58:57.257269,gemini-3-flash-preview,set2,Product containing precisely lidocaine hydrochloride 1 milligram/1 milliliter conventional release solution for injection,Lidocaine hydrochloride 1 mg/mL solution for injection,Medicinal product,Fully defined,Lidocaine hydrochloride solution for injection|Product containing lidocaine hydrochloride 1 mg/mL,Lidocaine product|Solution for injection,Lidocaine hydrochloride 1 mg/mL solution for injection ampoule|Lidocaine hydrochloride 1 mg/mL solution for injection vial,Lidocaine hydrochloride 20 mg/mL solution for injection|Bupivacaine hydrochloride 1 mg/mL solution for injection
2026-03-05T10:59:09.091954,gemini-3-flash-preview,set2,Congenital absence of uvula,Congenital absence of uvula,Congenital malformation,Primitive,Congenital anomaly of uvula|Absence of uvula,Congenital anomaly of soft palate|Congenital anomaly of mouth|Absence of mouth structure,None,Bifid uvula|Congenital hypoplasia of uvula|Congenital hypertrophy of uvula
2026-03-05T10:59:15.257037,gemini-3-flash-preview,set2,Streptococcus pyogenes type emm35,*Streptococcus pyogenes* type emm35,Organism,Primitive,,,,*Streptococcus pyogenes* type emm1|*Streptococcus pyogenes* type emm12|*Streptococcus pyogenes* type emm28|*Streptococcus pyogenes* type emm89
2026-03-05T10:59:23.971845,gemini-3-flash-preview,set2,Fracture of mandible involving dental socket,Fracture of mandible involving dental socket,Clinical finding,Fully defined,Fracture of mandible|Fracture of alveolar process of mandible,Facial bone fracture|Skull fracture,Closed fracture of mandible involving dental socket|Open fracture of mandible involving dental socket,Fracture of mandibular symphysis|Fracture of angle of mandible|Fracture of ramus of mandible|Fracture of condylar process of mandible|Fracture of coronoid process of mandible
2026-03-05T10:59:29.461361,gemini-3-flash-preview,set2,Foreign body in skin of finger with infection,Foreign body in skin of finger with infection,Clinical finding,Fully defined,Foreign body in skin of finger|Infected foreign body in skin,Foreign body in finger|Foreign body in skin|Soft tissue infection,Foreign body in skin of thumb with infection|Foreign body in skin of index finger with infection|Foreign body in skin of middle finger with infection,Foreign body in skin of toe with infection|Foreign body in skin of hand with infection|Foreign body in skin of wrist with infection
2026-03-05T10:59:39.437540,gemini-3-flash-preview,set2,Product containing precisely naloxone hydrochloride 400 microgram/1 milliliter conventional release solution for injection,Naloxone hydrochloride 400 microgram/1 mL solution for injection (product),Clinical Drug,Fully defined,Naloxone hydrochloride solution for injection (product)|Product containing naloxone hydrochloride in solution for injection (product),Naloxone hydrochloride injectable product (product)|Opioid antagonist product (product),Naloxone hydrochloride 400 microgram/1 mL solution for injection ampoule (product)|Naloxone hydrochloride 400 microgram/1 mL solution for injection pre-filled syringe (product),Naloxone hydrochloride 20 microgram/1 mL solution for injection (product)|Naloxone hydrochloride 1 mg/1 mL solution for injection (product)|Naloxone hydrochloride 40 microgram/1 mL solution for injection (product)
2026-03-05T10:59:52.626768,gemini-3-flash-preview,set2,Excisional biopsy of lacrimal sac,Excisional biopsy of lacrimal sac,Procedure,Fully defined,Biopsy of lacrimal sac|Excision of lacrimal sac,Biopsy of lacrimal apparatus|Operation on lacrimal sac|Diagnostic procedure on lacrimal system,None,Incisional biopsy of lacrimal sac|Needle biopsy of lacrimal sac|Core needle biopsy of lacrimal sac
2026-03-05T11:00:00.951384,gemini-3-flash-preview,set2,Catatonic posturing,Catatonic posturing,Clinical finding,Primitive,Abnormal posture|Catatonic symptom,Finding of body position|Psychomotor finding,Waxy flexibility,Mutism|Negativism|Stupor|Echopraxia|Echolalia|Stereotypy|Mannerisms|Grimacing
2026-03-05T11:00:09.395792,gemini-3-flash-preview,set2,Structure of palmaris brevis muscle,Palmaris brevis muscle,Anatomical structure,Fully defined,,,Left palmaris brevis muscle|Right palmaris brevis muscle,Abductor digiti minimi muscle of hand|Flexor digiti minimi brevis muscle of hand|Opponens digiti minimi muscle
2026-03-05T11:00:17.928510,gemini-3-flash-preview,set2,Butteroil,Anhydrous milkfat,Dairy fat,Fully defined,Milk fat,Dairy product|Animal fat,Ghee|Fractionated butteroil,Butter|Cream|Whey butter
2026-03-05T11:00:25.515428,gemini-3-flash-preview,set2,Entire ventral posterolateral nucleus of thalamus,Ventral posterolateral nucleus of thalamus,Anatomical structure,Primitive,,,"Ventral posterolateral nucleus, pars caudalis|Ventral posterolateral nucleus, pars oralis",Ventral posteromedial nucleus|Ventral posteroinferior nucleus
2026-03-05T11:00:34.732439,gemini-3-flash-preview,set2,Anomalous pulmonary venous drainage to right atrium,Anomalous pulmonary venous connection to right atrium,Congenital abnormality,Fully defined,Anomalous pulmonary venous connection|Congenital anomaly of right atrium,Congenital anomaly of heart|Congenital anomaly of pulmonary vein,Total anomalous pulmonary venous connection to right atrium|Partial anomalous pulmonary venous connection to right atrium,Anomalous pulmonary venous connection to coronary sinus|Anomalous pulmonary venous connection to superior vena cava|Anomalous pulmonary venous connection to inferior vena cava|Anomalous pulmonary venous connection to left brachiocephalic vein
2026-03-05T11:00:44.079624,gemini-3-flash-preview,set2,Caries of cervical margin of tooth,Caries of cervical margin of tooth (disorder),Disorder,Primitive,Dental caries,Disease of hard tissues of teeth|Dental disease,Cervical caries of deciduous tooth|Cervical caries of permanent tooth,Caries of dentin|Caries of enamel|Dental caries of occlusal surface|Dental caries of proximal surface|Dental caries of buccal surface|Dental caries of lingual surface|Arrested dental caries|Radiation caries
2026-03-05T11:00:53.469381,gemini-3-flash-preview,set2,Bursitis of shoulder,Bursitis of shoulder,Disease or Syndrome,Primitive,Disorder of bursa of shoulder region|Bursitis,Disorder of shoulder|Disorder of bursa,Subacromial bursitis|Subcoracoid bursitis|Subdeltoid bursitis,Tendinitis of shoulder|Synovitis of shoulder|Enthesopathy of shoulder region
2026-03-05T11:01:00.974544,gemini-3-flash-preview,set2,Laboratory oven,Laboratory oven,Laboratory equipment,Fully defined,Laboratory thermal equipment|Heating apparatus,Laboratory apparatus|Scientific instrument,Gravity convection oven|Forced air oven|Vacuum oven|Cleanroom oven,Muffle furnace|Laboratory incubator|Hot plate|Water bath
2026-03-05T11:01:06.840071,gemini-3-flash-preview,set2,Assessment using physical function intensive care unit test,Assessment using physical function intensive care unit test (procedure),Procedure,Fully defined,Functional assessment (procedure)|Evaluation of physical performance (procedure),Assessment of function (procedure)|Clinical examination (procedure)|Evaluation of procedure (procedure),None,Assessment using Chelsea Critical Care Physical Assessment Tool (procedure)|Assessment using ICU Mobility Scale (procedure)|Assessment using Functional Status Score for the Intensive Care Unit (procedure)|Assessment using Barthel Index (procedure)|Assessment using Short Physical Performance Battery (procedure)
2026-03-05T11:01:15.243937,gemini-3-flash-preview,set2,Oral dyskinesia,Orofacial dyskinesia,Disease or Syndrome,Fully defined,Dyskinesia|Involuntary movement of face,Movement disorder|Neurological symptom,Tardive dyskinesia|Edentulous dyskinesia|Rabbit syndrome,Limb dyskinesia|Truncal dyskinesia|Hemiballismus
2026-03-05T11:01:21.484255,gemini-3-flash-preview,set2,Family Ranidae,Ranidae,Biological family,Fully defined,,,Genus Rana|Genus Lithobates|Genus Pelophylax|Genus Glandirana|Genus Hylarana,Family Microhylidae|Family Dicroglossidae|Family Rhacophoridae|Family Mantellidae|Family Pyxicephalidae
2026-03-05T11:01:32.596016,gemini-3-flash-preview,set2,Acute postthoracotomy pain syndrome,Acute postthoracotomy pain,Finding,Primitive,Postthoracotomy pain|Acute postprocedural pain,Thoracic pain|Postprocedural pain,None,Chronic postthoracotomy pain|Acute postlaparotomy pain|Acute poststernotomy pain|Acute postmastectomy pain
2026-03-05T11:01:37.501707,gemini-3-flash-preview,set2,Trapezius flap,Trapezius myocutaneous flap,Therapeutic or Preventive Procedure,Fully defined,Muscle flap|Myocutaneous flap|Regional flap,Surgical flap|Reconstructive surgical procedure,Superior trapezius flap|Lateral trapezius flap|Vertical (lower) trapezius flap,Pectoralis major flap|Latissimus dorsi flap|Sternocleidomastoid flap|Platysma flap
2026-03-05T11:01:48.522844,gemini-3-flash-preview,set2,Fetal movements palpated by healthcare professional,Fetal movements palpated by healthcare professional,Clinical finding,Primitive,Fetal movements felt|Finding by palpation of fetal heart and movements,Observation of fetal movement|Finding by obstetric palpation,None,Fetal movements felt by mother
2026-03-05T11:01:58.706238,gemini-3-flash-preview,set2,Product containing only sodium thiosulfate in parenteral dose form,Product containing only sodium thiosulfate in parenteral dose form,Medicinal product,Fully defined,Product containing sodium thiosulfate|Parenteral dose form product,Sulfur compound product|Pharmaceutical product,Sodium thiosulfate 250 mg/mL injection solution|Sodium thiosulfate 12.5 g/50 mL injection solution,Product containing only sodium nitrite in parenteral dose form|Product containing only hydroxocobalamin in parenteral dose form|Product containing only dimercaprol in parenteral dose form
2026-03-05T11:02:05.252480,gemini-3-flash-preview,set2,Zamia,Genus *Zamia*,Plant genus,Fully defined,,,*Zamia furfuracea*|*Zamia integrifolia*|*Zamia pumila*|*Zamia pygmaea*,*Ceratozamia*|*Dioon*|*Encephalartos*|*Lepidozamia*|*Macrozamia*|*Microcycas*
2026-03-05T11:02:14.471836,gemini-3-flash-preview,set2,Provision of removable artificial eye,Provision of removable artificial eye,Procedure,Fully defined,Provision of prosthetic appliance|Ophthalmic procedure,Provision of device|Procedure on body system,None identified,Provision of artificial limb|Provision of facial prosthesis|Provision of dental prosthesis
2026-03-05T11:02:22.773835,gemini-3-flash-preview,set2,Hypokinesis of myocardium of anterolateral region of left ventricle,Hypokinesis of anterolateral wall of left ventricle,Finding,Fully defined,Hypokinesis of left ventricle|Regional wall motion abnormality of anterolateral wall of left ventricle,Reduced ventricular wall motion|Left ventricular wall motion abnormality,Mild hypokinesis of anterolateral wall of left ventricle|Severe hypokinesis of anterolateral wall of left ventricle,Akinesis of anterolateral wall of left ventricle|Dyskinesis of anterolateral wall of left ventricle|Hypokinesis of apical wall of left ventricle|Hypokinesis of inferior wall of left ventricle|Hypokinesis of posterior wall of left ventricle
2026-03-05T11:02:29.187008,gemini-3-flash-preview,set2,CV20,Conception Vessel 20 (Huagai),Acupuncture point,Fully defined,Conception Vessel points|Acupuncture points of the thoracic region,Acupuncture points|Traditional Chinese Medicine anatomical locations,None,CV19 (Zigong)|CV21 (Xuanji)
2026-03-05T11:02:38.608807,gemini-3-flash-preview,set2,Primary malignant neoplasm of intrathoracic organs,Primary malignant neoplasm of intrathoracic organs (disorder),Disease,Fully defined,Malignant neoplasm of intrathoracic organ|Primary malignant neoplasm of thorax,Malignant neoplasm of thorax|Neoplasm of intrathoracic organ|Primary malignant neoplasm by site,Primary malignant neoplasm of lung|Primary malignant neoplasm of thymus|Primary malignant neoplasm of heart|Primary malignant neoplasm of mediastinum|Primary malignant neoplasm of pleura,Secondary malignant neoplasm of intrathoracic organs|Primary malignant neoplasm of chest wall|Benign neoplasm of intrathoracic organs
2026-03-05T11:02:44.808042,gemini-3-flash-preview,set2,Salmonella IIIb 38:(k):z54,*Salmonella enterica* subsp. *diarizonae* serovar 38:(k):z54,Bacterium,Fully defined,,,,*Salmonella* IIIb 48:i:z|*Salmonella* IIIb 50:k:z|*Salmonella* IIIb 61:k:z
2026-03-05T11:02:51.318468,gemini-3-flash-preview,set2,Purpura simplex,Purpura simplex,Clinical finding,Primitive,Vascular purpura|Easy bruising,Purpura|Disorder of skin and subcutaneous tissue,None,Senile purpura|Henoch-Schönlein purpura|Psychogenic purpura|Mechanical purpura|Factitial purpura
